"UniqueID","obs","pred","fold","pred_bin","obs_bin","ecoregion"
"Andrus_LS23",0.970188926147052,0.667574972745986,3,3,5,"Colorado Rockies forests"
"Andrus_LS24",0.739382327448565,0.255890831269636,3,2,3,"Colorado Rockies forests"
"Andrus_LS24",0.739382327448565,0.255890831269636,3,2,3,"Colorado Rockies forests"
"Andrus_LS25",1,0.739868244710176,3,3,5,"Colorado Rockies forests"
"Andrus_LS25",1,0.739868244710176,3,3,5,"Colorado Rockies forests"
"Andrus_LS26",1,0.602880961893632,3,3,5,"Colorado Rockies forests"
"Andrus_LS26",1,0.602880961893632,3,3,5,"Colorado Rockies forests"
"Andrus_PA01",0.486715366216304,0.105973402891188,3,1,2,"Colorado Rockies forests"
"Andrus_PA01",0.486715366216304,0.105973402891188,3,1,2,"Colorado Rockies forests"
"Andrus_PA02",0.44123440577807,0.284600641208235,3,2,2,"Colorado Rockies forests"
"Andrus_PA02",0.44123440577807,0.284600641208235,3,2,2,"Colorado Rockies forests"
"Andrus_PA03",1,0.922145640923437,3,5,5,"Colorado Rockies forests"
"Andrus_PA03",1,0.922145640923437,3,5,5,"Colorado Rockies forests"
"Andrus_PA04",0.251642829532277,0.08618468852786,3,1,2,"Colorado Rockies forests"
"Andrus_PA04",0.251642829532277,0.08618468852786,3,1,2,"Colorado Rockies forests"
"Andrus_PA05",0.626008389803162,0.318408082600715,3,2,3,"Colorado Rockies forests"
"Andrus_PA05",0.626008389803162,0.318408082600715,3,2,3,"Colorado Rockies forests"
"Andrus_PA06",0.881627408993576,0.799022177744476,3,4,4,"Colorado Rockies forests"
"Andrus_PA06",0.881627408993576,0.799022177744476,3,4,4,"Colorado Rockies forests"
"Andrus_PA07",1,0.60367289567073,3,3,5,"Colorado Rockies forests"
"Andrus_PA07",1,0.60367289567073,3,3,5,"Colorado Rockies forests"
"Andrus_PA08",1,0.828812054926142,3,4,5,"Colorado Rockies forests"
"Andrus_PA08",1,0.828812054926142,3,4,5,"Colorado Rockies forests"
"Andrus_PA09",1,0.692331104105843,3,3,5,"Colorado Rockies forests"
"Andrus_PA09",1,0.692331104105843,3,3,5,"Colorado Rockies forests"
"Andrus_PA10",0.167447740025899,0.678209372232681,3,3,1,"Colorado Rockies forests"
"Andrus_PA10",0.167447740025899,0.678209372232681,3,3,1,"Colorado Rockies forests"
"Andrus_PA11",1,0.93678065145911,3,5,5,"Colorado Rockies forests"
"Andrus_PA11",1,0.93678065145911,3,5,5,"Colorado Rockies forests"
"Andrus_PA12",1,0.627690930490666,3,3,5,"Colorado Rockies forests"
"Andrus_PA12",1,0.627690930490666,3,3,5,"Colorado Rockies forests"
"Andrus_PA13",1,0.968202125402459,3,5,5,"Colorado Rockies forests"
"Andrus_PA13",1,0.968202125402459,3,5,5,"Colorado Rockies forests"
"Andrus_PA14",1,0.771748677681108,3,4,5,"Colorado Rockies forests"
"Andrus_PA14",1,0.771748677681108,3,4,5,"Colorado Rockies forests"
"Andrus_PA15",1,0.76625410395906,3,4,5,"Colorado Rockies forests"
"Andrus_PA15",1,0.76625410395906,3,4,5,"Colorado Rockies forests"
"Andrus_PA16",1,0.87664186034132,3,4,5,"Colorado Rockies forests"
"Andrus_PA16",1,0.87664186034132,3,4,5,"Colorado Rockies forests"
"Andrus_PA17",1,0.918229901214295,3,5,5,"Colorado Rockies forests"
"Andrus_PA17",1,0.918229901214295,3,5,5,"Colorado Rockies forests"
"Andrus_PA18",0.385918674698795,0.357870741855521,3,2,2,"Colorado Rockies forests"
"Andrus_PA18",0.385918674698795,0.357870741855521,3,2,2,"Colorado Rockies forests"
"Andrus_PA19",0.54975845410628,0.250462987006429,3,2,3,"Colorado Rockies forests"
"Andrus_PA19",0.54975845410628,0.250462987006429,3,2,3,"Colorado Rockies forests"
"Andrus_PA20",1,0.934355843877686,3,5,5,"Colorado Rockies forests"
"Andrus_PA20",1,0.934355843877686,3,5,5,"Colorado Rockies forests"
"Andrus_PA21",1,0.917963343411393,3,5,5,"Colorado Rockies forests"
"Andrus_PA21",1,0.917963343411393,3,5,5,"Colorado Rockies forests"
"Andrus_PA22",1,0.771062450787529,3,4,5,"Colorado Rockies forests"
"Andrus_PA22",1,0.771062450787529,3,4,5,"Colorado Rockies forests"
"Andrus_PA23",1,0.692478372909597,3,3,5,"Colorado Rockies forests"
"Andrus_PA23",1,0.692478372909597,3,3,5,"Colorado Rockies forests"
"Andrus_PA24",1,0.725771881980897,3,3,5,"Colorado Rockies forests"
"Andrus_PA24",1,0.725771881980897,3,3,5,"Colorado Rockies forests"
"Andrus_PA25",1,0.239906508604499,3,1,5,"Colorado Rockies forests"
"Andrus_PA25",1,0.239906508604499,3,1,5,"Colorado Rockies forests"
"Andrus_PA26",1,0.543161592910154,3,3,5,"Colorado Rockies forests"
"Andrus_PA26",1,0.543161592910154,3,3,5,"Colorado Rockies forests"
"Andrus_PA27",1,0.872301512011222,3,4,5,"Colorado Rockies forests"
"Andrus_PA27",1,0.872301512011222,3,4,5,"Colorado Rockies forests"
"Andrus_PA28",1,0.910598413745371,3,5,5,"Colorado Rockies forests"
"Andrus_PA28",1,0.910598413745371,3,5,5,"Colorado Rockies forests"
"Andrus_PA29",1,0.771204351943389,3,4,5,"Colorado Rockies forests"
"Andrus_PA29",1,0.771204351943389,3,4,5,"Colorado Rockies forests"
"Andrus_PA30",1,0.874342516182234,3,4,5,"Colorado Rockies forests"
"Andrus_PA30",1,0.874342516182234,3,4,5,"Colorado Rockies forests"
"Andrus_PA31",0.971137888736561,0.3580123569867,3,2,5,"Colorado Rockies forests"
"Andrus_PA31",0.971137888736561,0.3580123569867,3,2,5,"Colorado Rockies forests"
"Andrus_PA32",1,0.916650688324603,3,5,5,"Colorado Rockies forests"
"Andrus_PA32",1,0.916650688324603,3,5,5,"Colorado Rockies forests"
"Andrus_PA33",0.662877131613467,0.157308531662018,3,1,3,"Colorado Rockies forests"
"Andrus_PA33",0.662877131613467,0.157308531662018,3,1,3,"Colorado Rockies forests"
"Andrus_PA34",0.75869023608969,0.281276980058238,3,2,4,"Colorado Rockies forests"
"Andrus_PA34",0.75869023608969,0.281276980058238,3,2,4,"Colorado Rockies forests"
"Andrus_PA35",1,0.880965698807979,3,4,5,"Colorado Rockies forests"
"Andrus_PA35",1,0.880965698807979,3,4,5,"Colorado Rockies forests"
"Andrus_PA36",0.374487844851134,0.185112201114756,3,1,2,"Colorado Rockies forests"
"Andrus_PA36",0.374487844851134,0.185112201114756,3,1,2,"Colorado Rockies forests"
"Andrus_PA37",0.985545473728635,0.950037993933716,3,5,5,"Colorado Rockies forests"
"Andrus_PA37",0.985545473728635,0.950037993933716,3,5,5,"Colorado Rockies forests"
"Andrus_PA38",0.446082682856317,0.379495010164852,3,2,2,"Colorado Rockies forests"
"Andrus_PA38",0.446082682856317,0.379495010164852,3,2,2,"Colorado Rockies forests"
"Andrus_PA39",0.906598984771574,0.866774660683345,3,4,5,"Colorado Rockies forests"
"Andrus_PA39",0.906598984771574,0.866774660683345,3,4,5,"Colorado Rockies forests"
"Andrus_PA40",0.389391979301423,0.791393669368378,3,4,2,"Colorado Rockies forests"
"Andrus_PA40",0.389391979301423,0.791393669368378,3,4,2,"Colorado Rockies forests"
"Andrus_WF01",1,0.259493683028993,3,2,5,"Colorado Rockies forests"
"Andrus_WF01",1,0.259493683028993,3,2,5,"Colorado Rockies forests"
"Andrus_WF02",0.784738041002278,0.0508004416604097,3,1,4,"Colorado Rockies forests"
"Andrus_WF02",0.784738041002278,0.0508004416604097,3,1,4,"Colorado Rockies forests"
"Andrus_WF03",0.839618249534451,0.0600138267457868,3,1,4,"Colorado Rockies forests"
"Andrus_WF03",0.839618249534451,0.0600138267457868,3,1,4,"Colorado Rockies forests"
"Andrus_WF04",0.591490316308981,0.249314471444562,3,1,3,"Colorado Rockies forests"
"Andrus_WF04",0.591490316308981,0.249314471444562,3,1,3,"Colorado Rockies forests"
"Andrus_WF05",0.708343690446599,0.380573251897989,3,2,3,"Colorado Rockies forests"
"Andrus_WF05",0.708343690446599,0.380573251897989,3,2,3,"Colorado Rockies forests"
"Andrus_WF06",0.558365758754864,0.0869717625512196,3,1,3,"Colorado Rockies forests"
"Andrus_WF06",0.558365758754864,0.0869717625512196,3,1,3,"Colorado Rockies forests"
"Andrus_WF07",1,0.940665228669289,3,5,5,"Colorado Rockies forests"
"Andrus_WF07",1,0.940665228669289,3,5,5,"Colorado Rockies forests"
"Andrus_WF08",0.584465094114844,0.11649808172792,3,1,3,"Colorado Rockies forests"
"Andrus_WF08",0.584465094114844,0.11649808172792,3,1,3,"Colorado Rockies forests"
"Andrus_WF09",1,0.878556244562434,3,4,5,"Colorado Rockies forests"
"Andrus_WF09",1,0.878556244562434,3,4,5,"Colorado Rockies forests"
"Andrus_WF10",0.470773098680075,0.15638614926511,3,1,2,"Colorado Rockies forests"
"Andrus_WF10",0.470773098680075,0.15638614926511,3,1,2,"Colorado Rockies forests"
"Andrus_WF11",0.296917252568956,0.182016792291138,3,1,2,"Colorado Rockies forests"
"Andrus_WF11",0.296917252568956,0.182016792291138,3,1,2,"Colorado Rockies forests"
"Andrus_WF12",1,0.912633509960967,3,5,5,"Colorado Rockies forests"
"Andrus_WF12",1,0.912633509960967,3,5,5,"Colorado Rockies forests"
"Andrus_WF13",1,0.850283738621816,3,4,5,"Colorado Rockies forests"
"Andrus_WF13",1,0.850283738621816,3,4,5,"Colorado Rockies forests"
"Andrus_WF14",0.968637532133676,0.923676980895325,3,5,5,"Colorado Rockies forests"
"Andrus_WF14",0.968637532133676,0.923676980895325,3,5,5,"Colorado Rockies forests"
"Andrus_WF15",0.505822416302766,0.0500717905777473,3,1,3,"Colorado Rockies forests"
"Andrus_WF15",0.505822416302766,0.0500717905777473,3,1,3,"Colorado Rockies forests"
"Andrus_WF16",0.141990291262136,0.0568927979135155,3,1,1,"Colorado Rockies forests"
"Andrus_WF16",0.141990291262136,0.0568927979135155,3,1,1,"Colorado Rockies forests"
"Andrus_WF17",0.120168954593453,0.0705843462857911,3,1,1,"Colorado Rockies forests"
"Andrus_WF17",0.120168954593453,0.0705843462857911,3,1,1,"Colorado Rockies forests"
"Andrus_WF18",0.972913211719182,0.187598850053659,3,1,5,"Colorado Rockies forests"
"Andrus_WF18",0.972913211719182,0.187598850053659,3,1,5,"Colorado Rockies forests"
"Andrus_WF19",1,0.660673605595644,3,3,5,"Colorado Rockies forests"
"Andrus_WF19",1,0.660673605595644,3,3,5,"Colorado Rockies forests"
"Andrus_WF20",1,0.843821429960239,3,4,5,"Colorado Rockies forests"
"Andrus_WF20",1,0.843821429960239,3,4,5,"Colorado Rockies forests"
"Andrus_WF21",0.449402158063575,0.231563786287624,3,1,2,"Colorado Rockies forests"
"Andrus_WF21",0.449402158063575,0.231563786287624,3,1,2,"Colorado Rockies forests"
"Andrus_WF22",0.506130456105934,0.0452875775843222,3,1,3,"Colorado Rockies forests"
"Andrus_WF22",0.506130456105934,0.0452875775843222,3,1,3,"Colorado Rockies forests"
"Andrus_WF23",1,0.951479364249853,3,5,5,"Colorado Rockies forests"
"Andrus_WF23",1,0.951479364249853,3,5,5,"Colorado Rockies forests"
"Andrus_WF24",1,0.914004674744539,3,5,5,"Colorado Rockies forests"
"Andrus_WF24",1,0.914004674744539,3,5,5,"Colorado Rockies forests"
"Andrus_WF25",0.509873617693523,0.139331928914321,3,1,3,"Colorado Rockies forests"
"Andrus_WF25",0.509873617693523,0.139331928914321,3,1,3,"Colorado Rockies forests"
"Andrus_WF26",0.199844277186608,0.135424076219083,3,1,1,"Colorado Rockies forests"
